id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6658825,3 bed flat with balcony in Sofo.,34827539,Åsa,,Södermalms,59.30987,18.07644,Entire home/apt,,3,52,2024-08-05,0.45,1,4,3,
6660656,Cosy cottage just off Main Street,34327565,Saleeban,,Spånga-Tensta,59.3956,17.91016,Private room,,1,0,,,1,0,0,
6666105,Gustavia Apartment Floor 6,34891784,Gustavia,,Södermalms,59.32362,18.07248,Entire home/apt,1457,3,196,2024-11-24,1.78,3,241,33,
6666960,Refurbished Old Town Charm - FLORY,8547277,Tom,,Södermalms,59.32497,18.07437,Entire home/apt,2822,2,347,2024-09-28,3.00,6,186,3,
6707749,Quiet and cosy for a family!,18130394,Ola,,Hägersten-Liljeholmens,59.30416066118392,18.022661303704837,Entire home/apt,1995,4,7,2024-11-03,0.93,1,90,7,
6719086,Quirky Ornaments and Mint Green Accents at an Arty Hideaway,35183741,Torleif,,Östermalms,59.33614,18.08132,Entire home/apt,1500,20,70,2020-12-01,0.60,1,76,0,
6722790,Cosy 2-room apartment in calm area close to nature,2417786,Soheill,,Hägersten-Liljeholmens,59.29321,17.98138,Entire home/apt,699,7,23,2024-12-19,0.21,1,179,4,
6722873,"Townhouse in Stockholm, Bagarmossen",34585029,Johan,,Skarpnäcks,59.27504,18.14528,Entire home/apt,1119,7,5,2019-07-20,0.04,1,127,0,
6724847,Stockholm City with Balcony,35209669,Peter Alexander,,Norrmalms,59.34094,18.03117,Entire home/apt,,365,0,,,1,0,0,
6737692,Beautiful large apartment in SOFO,35282886,Pia,,Södermalms,59.3134381312736,18.084141432438283,Entire home/apt,,5,23,2023-07-30,0.20,1,0,0,
6753639,Large Old Town Apt with terrace - CARL,8547277,Tom,,Södermalms,59.32497,18.07437,Entire home/apt,4293,2,420,2024-12-14,3.63,6,222,22,
6755691,"Top floor, Stockholm Skyline view.",35370344,Nicodemus,,Östermalms,59.35007,18.06279,Entire home/apt,,30,19,2022-06-30,0.16,1,0,0,
6762949,Beautiful 3 bedroom flat in the middle of town,35403064,Fredrik,,Kungsholmens,59.3238,18.00348,Entire home/apt,,2,3,2019-12-28,0.03,1,0,0,
6779145,Large and luxury villa close to the city centre,35488274,Johan,,Hägersten-Liljeholmens,59.30728,18.0018,Entire home/apt,,4,50,2024-08-04,0.48,1,0,3,
6793100,Large Old Town Rooftop Apartment - BALTZAR,8547277,Tom,,Södermalms,59.32497,18.07437,Entire home/apt,3121,2,298,2024-10-06,2.60,6,267,8,
